unique_id,lon_a,lat_a,lon_b,lat_b,length,freq
san_antonio,-57.70796452817641,-31.39293873846699,-57.90715735610016,-31.47506845522348,22.67734627335145,7.0
salto_grande,-57.92562946756237,-31.38341656319149,-57.9159930369815,-31.28091483539308,6.147314764996287,7.0
laureles,-57.54032903697338,-31.51453270951458,-57.70796770473605,-31.39293098878487,19.997362565736807,7.0
